,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,release_location_name,hatchery_location_name,release_location_rmis_basin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
357,NaN,3,4,2008,20090116,20090116,3F10511 100199 R,3F10511 100414 H,S,FR,6,NaN,NaN,NaN,NaN,5000,185393,0,2157,NaN,NaN,VIOLA CR 10.0199,VOIGHTS CR HATCHERY,PUYA,0,0,185393,2157,0
358,NaN,1,3,2000,20010516,20010531,3F10511 100414 R,3F10511 100414 H,NaN,NaN,82,NaN,NaN,NaN,NaN,5000,843375,0,21625,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,843375,21625,0
359,13,2,NaN,2016,20180401,20180401,3F10511 100027 R,3F10511 100027 H,Y,FR,124,5000,48893,0,93,5000,93,NaN,NaN,NaN,0.0019,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,48893,93,93,0,0
360,NaN,3,4,2001,20020429,20020429,3F10511 100414 R,3F10511 100414 H,S,NaN,183,NaN,NaN,NaN,NaN,5000,49500,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,49500,0,0
361,NaN,1,3,2000,20010601,20010607,3F10511 100414 R,3F10511 100414 H,NaN,NaN,82,NaN,NaN,NaN,NaN,5000,728130,0,18670,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,728130,18670,0
362,NaN,1,3,2011,20120619,20120619,3F10511 100414 R,3F10511 100414 H,NaN,VO,77,NaN,NaN,NaN,NaN,5000,170914,0,686,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,170914,686,0
363,NaN,3,4,2001,20020313,20020313,3F10513 130028 R,3F10511 100027 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5000,12500,NaN,NaN,NaN,NaN,DESCHUTES R 13.0028,PUYALLUP HATCHERY,DES,0,0,12500,0,0
364,NaN,3,4,2006,20061107,20061107,3F10511 100414 R,3F10511 100414 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5000,2700,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,2700,0,0
365,12,1,3,2005,20060530,20060530,3F10511 100414 R,3F10511 100414 H,NaN,NaN,86,5000,200181,0,1803,5000,648,NaN,NaN,NaN,0.0032,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,200181,1803,648,0,0
366,NaN,2,NaN,2014,20160401,20160401,3F10511 100027 R,3F10511 100027 H,Y,FR,122,NaN,NaN,NaN,NaN,5000,191358,0,383,NaN,NaN,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,0,0,191358,383,0
367,NaN,1,3,2015,20160528,20160602,3F10511 100414 R,3F10511 100414 H,NaN,VO,82,NaN,NaN,NaN,NaN,5000,550709,0,5001,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,550709,5001,0
368,NaN,2,NaN,1999,20010415,20010430,3F10511 100414 R,3F10511 100414 H,Y,NaN,124,NaN,NaN,NaN,NaN,5000,539263,0,11005,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,539263,11005,0
369,13,2,NaN,2015,20170418,20170418,3F10511 100027 R,3F10511 100027 H,Y,FR,130,5000,50806,0,102,5000,102,NaN,NaN,NaN,0.002,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,50806,102,102,0,0
370,12,1,3,2006,20070605,20070605,3F10511 100414 R,3F10511 100414 H,NaN,NaN,89,5000,195828,0,1065,5000,3996,NaN,NaN,NaN,0.02,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,195828,1065,3996,0,0
371,NaN,3,4,2008,20090501,20090501,3F10511 100021 R,3F10511 100027 H,S,FR,205,NaN,NaN,NaN,NaN,5000,13207,0,3793,NaN,NaN,PUYALLUP R 10.0021,PUYALLUP HATCHERY,PUYA,0,0,13207,3793,0
372,NaN,2,NaN,2004,20060418,20060420,3F10511 100414 R,3F10511 100414 H,Y,NaN,127,NaN,NaN,NaN,NaN,5000,779203,0,10183,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,779203,10183,0
373,NaN,1,3,2001,20020526,20020530,3F10511 100414 R,3F10511 100414 H,NaN,NaN,83,NaN,NaN,NaN,NaN,5000,814000,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,814000,0,0
374,NaN,2,NaN,2005,20061107,20061107,3F10511 100414 R,3F10511 100414 H,G,NaN,NaN,NaN,NaN,NaN,NaN,5000,85705,0,405,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,85705,405,0
375,NaN,1,3,2010,20110531,20110531,3F10511 100414 R,3F10511 100414 H,NaN,VO,78,NaN,NaN,NaN,NaN,5000,67722,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,67722,0,0
376,NaN,2,NaN,2021,20230412,20230417,3F10511 100414 R,3F10511 100414 H,Y,VO,124,NaN,NaN,NaN,NaN,5000,256714,0,1498,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,256714,1498,0
377,NaN,2,NaN,2007,20090414,20090414,3F10511 100414 R,3F10511 100027 H,G,FR,121,NaN,NaN,NaN,NaN,5000,96656,0,544,NaN,NaN,VOIGHT CR 10.0414,PUYALLUP HATCHERY,PUYA,0,0,96656,544,0
378,12,2,NaN,2019,20210414,20210414,3F10511 100027 R,3F10511 100027 H,Y,VO,131,5000,50779,NaN,NaN,5000,389,NaN,NaN,NaN,0.0076,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,50779,0,389,0,0
379,NaN,2,NaN,2018,20200401,20200401,3F10511 100027 R,3F10511 100027 H,Y,VO,129,NaN,NaN,NaN,NaN,5000,252468,0,253,NaN,NaN,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,0,0,252468,253,0
