"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","hatchery_day","hatchery_night","AICc","deltaAICc"
"84",0.0309155299615575,0.00886408559591336,NA,0.25365741866347,-0.00618372934511023,NA,NA,NA,5177.66179694308,42.6230447108537
"11",NA,NA,-0.0328361463817969,0.270634757794367,NA,NA,NA,NA,5193.70262892567,58.6638766934411
"31",NA,NA,-0.0325430038730781,0.269477844628323,-0.00607616306522811,NA,NA,NA,5194.32827590685,59.2895236746272
"41",NA,NA,-0.0325809930127688,0.270804971705136,NA,-0.00314612263012432,NA,NA,5195.38982209322,60.3510698609989
"38",NA,0.0058205298463668,-0.0325430140785703,0.271506893122615,NA,NA,NA,NA,5195.63107919628,60.5923269640552
"71",NA,NA,-0.0322754344646595,0.26962092878041,-0.00614296838730292,-0.00331067852759662,NA,NA,5195.9691234275,60.9303711952762
"68",NA,0.00576765233445946,-0.0322708496495339,0.270295520505145,-0.00604395692036549,NA,NA,NA,5196.26243873551,61.2236865032819
"80",NA,0.00625040166152479,-0.0322900525307726,0.271662353468734,NA,-0.00322417878065391,NA,NA,5197.30458519098,62.2658329587603
"105",NA,0.00601696359975043,-0.0319781784343118,0.270412647794645,-0.00612343641858794,-0.00335425578639638,NA,NA,5197.88963792779,62.8508856955632
"63",NA,NA,NA,0.248662172815203,NA,0.0125780237461239,0.0295986927992765,0.040616941042158,5205.79582509565,70.7570728634291
"93",NA,NA,NA,0.247621065217155,-0.00662473090930476,0.0123013300237618,0.0291875582442919,0.0406730062210566,5206.26826400817,71.229511775944
"98",NA,0.0123874831569264,NA,0.250906198032068,NA,0.0122563593298729,0.0291210070891815,0.0403490342941066,5207.18846847512,72.1497162429005
"27",NA,NA,NA,0.253061920283945,NA,NA,0.0211422983895605,0.0333122581245874,5207.53476029576,72.4960080635328
"118",NA,0.0122344910009134,NA,0.249752270511273,-0.0065689028249183,0.0119799282643894,0.0287258085539856,0.0404133371305228,5207.67556807125,72.6368158390214
"52",NA,NA,NA,0.251826823472639,-0.00684238544979306,NA,0.0208247113940719,0.033528603256867,5207.9023304709,72.8635782386782
"61",NA,0.0137544784402183,NA,0.255441575759085,NA,NA,0.0208698434699761,0.0332165251864852,5208.75682519459,73.7180729623678
"91",NA,0.0135461314187406,NA,0.254166534398228,-0.00675835278264584,NA,0.0205340448533066,0.0334304989117772,5209.15084959273,74.1120973605039
