"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","AICc","hatchery","deltaAICc"
"27",NA,-0.0708876782432438,NA,0.0153573351009471,NA,NA,NA,1852.40037271541,NA,18.6371766267848
"67",NA,NA,NA,0.0106671179688366,-0.00824149828074916,-0.0434226133826038,NA,1852.49820902549,NA,18.7350129368665
"17",NA,-0.0701109231061104,NA,NA,-0.00666728602534455,NA,NA,1852.62813776649,NA,18.8649416778676
"40",NA,NA,0.00418107104381489,NA,-0.00896114669396195,-0.0441296227169816,NA,1852.63911671889,NA,18.8759206302643
"71",NA,NA,NA,NA,-0.00918907360204336,-0.043823691104839,NA,1852.66567758016,0.0046282956598683,18.9024814915397
"252",NA,-0.0646168282418357,-0.0103797719328886,0.0148303437757053,-0.0093185082640095,-0.0429344067853625,-0.029431881281583,1852.70027501125,0.0323914187664709,18.9370789226266
"29",NA,-0.0696910415474057,NA,NA,NA,NA,0.00632517097952267,1852.70291711249,NA,18.9397210238635
"147",NA,NA,NA,NA,-0.0106105582466991,-0.0545120288732195,-0.0251974135592554,1852.7441298139,0.0175590720518114,18.9809337252825
"85",NA,-0.0809073712610925,NA,0.0126772436946638,NA,NA,NA,1852.8415593028,0.0227400401442509,19.078363214177
"52",NA,NA,0.00407664951257414,0.0123332711479165,NA,-0.0434932758700117,NA,1852.84957973177,NA,19.0863836431524
"90",NA,NA,NA,0.0123769452295493,NA,-0.0431260977464713,NA,1852.89463722985,0.00401697962447595,19.131441141225
"66",NA,-0.0804191157611306,NA,NA,-0.00582183892106318,NA,NA,1852.97452582393,0.0232768410070896,19.2113297353101
"162",NA,NA,NA,0.0136034840031008,NA,-0.0533738880609969,-0.024457560849932,1853.07381862655,0.0166408889239661,19.3106225379267
"56",NA,NA,0.00499233016004343,NA,NA,-0.0439687568452698,NA,1853.07841101993,0.00534184868880754,19.3152149313066
"88",NA,-0.0814073709772671,NA,NA,NA,NA,-0.00322317581505555,1853.13003843467,0.0255156829560958,19.3668423460472
"230",NA,-0.0614505979240524,-0.00616399762865746,0.0125457734376174,-0.00760819717953472,-0.0317589323657919,NA,1853.15568812562,0.0175397176275238,19.3924920369959
"144",NA,NA,NA,0.0127870642001086,-0.00923622194678054,-0.0499510675253301,-0.0172268545818391,1853.29482492844,NA,19.5316288398137
"229",NA,-0.049461721705949,-0.00633753643767766,0.0161237814107778,-0.00890290166721292,-0.0382177265579316,-0.0142636758783978,1853.31243925837,NA,19.5492431697528
"127",NA,NA,0.00222085995864951,NA,NA,-0.0534664741519931,-0.0236619349861365,1853.44725476815,0.0176275983701543,19.6840586795254
"48",NA,-0.0753570745632549,-0.0129867044998061,0.0181812619601372,NA,NA,NA,1853.61201390851,NA,19.8488178198866
"105",NA,NA,0.00211019319181839,NA,-0.0102683694340005,-0.0499589300836675,-0.0162031113313821,1853.62635239093,NA,19.8631563023064
"124",NA,NA,0.00201544634230785,0.0149231626795957,NA,-0.0491193341957638,-0.0160214523660739,1853.85529017116,NA,20.0920940825372
"38",NA,-0.0742943435065243,-0.0123837884936636,NA,-0.00781304824516639,NA,NA,1853.92938135833,NA,20.1661852697127
"120",NA,-0.0859730862171521,-0.0142899562787625,0.0156716030940423,NA,NA,NA,1853.9559998303,0.0233261187433025,20.1928037416756
"101",NA,-0.0851651530402993,-0.0137579632292479,NA,-0.00706246473179027,NA,NA,1854.16497468234,0.0239170668771264,20.4017785937151
"50",NA,-0.07333091980678,-0.0107511315307947,NA,NA,NA,0.00390775227438757,1854.23474470932,NA,20.4715486206974
