"","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","hatchery","AICc","deltaAICc"
"21",-0.0335361426824331,NA,NA,NA,NA,0.0549485639516759,NA,1846.22494773046,38.4662249714386
"66",-0.0367058871710616,-0.020097588354903,NA,-0.0088568408529967,NA,0.0557190354865229,NA,1846.30472698979,38.5460042307695
"55",-0.0340235397581877,NA,-0.0220002141813408,NA,NA,0.0550078063722897,NA,1846.72288684776,38.964164088741
"12",NA,-0.0188237507506993,NA,NA,NA,0.0419370761114839,NA,1846.82897743366,39.070254674637
"100",-0.0369696445547617,-0.0180611470224038,-0.0170133963207863,-0.00895751361470032,NA,0.0557666828276958,NA,1847.4905890902,39.7318663311798
"46",-0.035207503517324,NA,NA,-0.00852470652323547,NA,0.0555824074067857,NA,1847.58694527886,39.8282225198395
"6",NA,NA,NA,NA,NA,0.0423393004631563,NA,1847.73567596098,39.9769532019611
"85",-0.0357634677059329,NA,-0.0222911989736695,-0.00871621169016457,NA,0.055668931688623,NA,1848.04513218746,40.2864094284366
"39",NA,-0.0169071383927529,-0.0162246886968783,NA,NA,0.041893106181071,NA,1848.0932730675,40.3345503084806
"24",NA,NA,-0.0211874699466774,NA,NA,0.0422410933720294,NA,1848.34632733148,40.5876045724622
"32",NA,-0.0189181816699411,NA,-0.00652254557087338,NA,0.0419443570952493,NA,1848.48872208149,40.7299993224676
"17",NA,NA,NA,-0.00630379254414032,NA,0.0423475207195072,NA,1849.42398098546,41.6652582264383
"69",NA,-0.0169617074065155,-0.0163943333492541,-0.0066151955098056,NA,0.041896783284642,NA,1849.73941026822,41.9806875092004
"49",NA,NA,-0.0213711898372425,-0.00645381398597953,NA,0.042231421559781,NA,1850.01274780701,42.2540250479869
"1",NA,-0.020513387548451,NA,NA,NA,NA,NA,1863.10024757998,55.3415248209617
"10",NA,-0.0185924898832344,-0.0150330456505484,NA,NA,NA,NA,1864.50452993268,56.7458071736582
"8",NA,-0.0206038987126906,NA,-0.00646654867678671,NA,NA,NA,1864.81016988036,57.0514471213407
"9",0.00969644051016801,-0.0200556984438479,NA,NA,NA,NA,NA,1864.81234941726,57.0536266582367
"4",NA,NA,-0.0204949843214025,NA,NA,NA,NA,1864.97162262757,57.2128998685537
"3",0.010879387181571,NA,NA,NA,NA,NA,NA,1865.83367916665,58.0749564076286
"2",NA,NA,NA,-0.00620972914742576,NA,NA,NA,1865.9678100428,58.2090872837755
"30",NA,-0.01865814988839,-0.0151526335468628,-0.00653605739733374,NA,NA,NA,1866.20624136264,58.4475186036209
"34",0.00975325793705044,-0.0181425990035003,-0.0150708704903416,NA,NA,NA,NA,1866.21468516502,58.4559624059984
"29",0.00891715497213431,-0.0201722465908467,NA,-0.00590273102527069,NA,NA,NA,1866.5901835359,58.8314607768821
"19",0.0107690349488266,NA,-0.020401375854377,NA,NA,NA,NA,1866.59165257996,58.8329298209444
"15",NA,NA,-0.0206534218633345,-0.00633490222487302,NA,NA,NA,1866.69631801749,58.9375952584705
"14",0.0101602270849893,NA,NA,-0.00557538411209043,NA,NA,NA,1867.64549847562,59.8867757165956
"64",0.00894030342612227,-0.0182512894880048,-0.0151750337520463,-0.00597978808038202,NA,NA,NA,1867.98557635408,60.226853595065
"44",0.0100156168715822,NA,-0.0205461588195542,-0.00571697714323973,NA,NA,NA,1868.38875828088,60.6300355218616
