"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery_day","hatchery_night","AICc","deltaAICc"
"84",0.0554938794654556,-0.0060945757735863,-0.0269029794645292,NA,NA,-0.00150001198466598,NA,NA,2731.36372604963,26.5395574744425
"45",0.0542918553833255,NA,-0.00541998141432204,NA,NA,-0.00137756100907381,NA,NA,2732.96997752705,28.1458089518628
"41",NA,NA,-0.0567444730022077,-0.0598476306716994,0.108622112532041,NA,NA,NA,2755.32664142226,50.5024728470744
"83",NA,NA,-0.0541923523304031,-0.0587484209598777,0.107589460441914,NA,0.0172824303649014,-0.0166480058393179,2756.80826069739,51.9840921222049
"80",NA,-0.00396575661549337,-0.0591859925810317,-0.0606005531329147,0.10792339904849,NA,NA,NA,2757.22297589391,52.398807318722
"12",NA,NA,NA,-0.0542073591114907,0.104721546173507,NA,NA,NA,2757.41092769438,52.5867591191954
"71",NA,NA,-0.0568879041941479,-0.0600110380698974,0.108392539789773,-0.00160064908811173,NA,NA,2757.44316101926,52.6189924440764
"43",NA,NA,NA,-0.0520025529253806,0.103731658093091,NA,0.0140562681173442,-0.0210734033101329,2758.42244889937,53.5982803241823
"113",NA,-0.00703288720097823,-0.0557930292018989,-0.0575567711769486,0.106140064877889,NA,0.0103344566220074,-0.0219614885022674,2758.43315340234,53.6089848271531
"108",NA,NA,-0.0543754767490106,-0.0588611985703438,0.10729182904929,-0.00166260671022451,0.0172334945071625,-0.0166776202167892,2758.93132650451,54.1071579293271
"105",NA,-0.00407668472756458,-0.0593570689358291,-0.0607316480488177,0.107567628652555,-0.00197932708547905,NA,NA,2759.32802283308,54.503854257895
"39",NA,-0.0012598936092891,NA,-0.0543501334414818,0.104457828540679,NA,NA,NA,2759.53243714063,54.7082685654418
"32",NA,NA,NA,-0.0543156483436748,0.104521948221577,-0.00133155026358149,NA,NA,2759.53560972388,54.7114411486937
"82",NA,-0.0054965428437344,NA,-0.0510785093068638,0.1025829272332,NA,0.00865919391578272,-0.0252243750762137,2760.25605464567,55.4318860704811
"124",NA,-0.00723648319380173,-0.0560948072427867,-0.0577088884269732,0.105794199728328,-0.00230261621604464,0.0101138466979047,-0.0221357985842591,2760.5271065541,55.702937978916
"73",NA,NA,NA,-0.0521377560860693,0.103513921320706,-0.00142834848261379,0.0140268272031967,-0.0210470782573005,2760.55181423117,55.7276456559889
"69",NA,-0.00135182352584484,NA,-0.0544522253806135,0.104184973939333,-0.00144926203310947,NA,NA,2761.65803928341,56.8338707082235
"107",NA,-0.00566473547676381,NA,-0.0511484964740157,0.102186537618595,-0.00190155671360183,0.00837909289221413,-0.0253861602543451,2762.36929737325,57.5451287980691
"28",NA,NA,NA,NA,0.0912578420829175,NA,0.000272039745609547,-0.0347398554343574,2776.91041517074,72.086246595552
"62",NA,-0.0108565121023267,NA,NA,0.089871995742608,NA,-0.0096875342975515,-0.0423073545043842,2777.91950458849,73.0953360133026
"6",NA,NA,NA,NA,0.0908361495311765,NA,NA,NA,2778.38392357794,73.5597550027569
"11",NA,NA,-0.0437977477478536,-0.0515997045204096,NA,NA,NA,NA,2778.49048334528,73.666314770092
"1",NA,NA,NA,-0.0470049979943756,NA,NA,NA,NA,2778.80316553255,73.9789969573617
"63",NA,NA,-0.0114106659141759,NA,0.0916448011359818,NA,0.000390172690963834,-0.0341937976035387,2778.88355175439,74.0593831792066
"53",NA,NA,NA,NA,0.0914682038008163,0.000775582635921739,0.000170317132943765,-0.0346710581609428,2779.05445082742,74.230282252237
"42",NA,NA,-0.0417862320148151,-0.0510573145175412,NA,NA,0.0216183556779021,-0.0177720390299691,2779.58039647402,74.7562278988398
"13",NA,NA,NA,-0.0456514640287244,NA,NA,0.0187232835251281,-0.0212349063845932,2779.60312969126,74.7789611160797
"98",NA,-0.0114198078500875,-0.0144439481644361,NA,0.090199721569823,NA,-0.00993901483255366,-0.0421012699081727,2779.79000894007,74.9658403648814
"38",NA,-0.00649587823806632,-0.0472148517457259,-0.0526269776546069,NA,NA,NA,NA,2780.06023021313,75.2360616379442
"92",NA,-0.0108863955381549,NA,NA,0.0898674896139245,-0.000187187838162913,-0.00972629902685567,-0.0423538670968887,2780.07483193861,75.2506633634225
"26",NA,NA,-0.0159762317232088,NA,0.0912055773041601,NA,NA,NA,2780.18562544717,75.3614568719845
"31",NA,NA,-0.0440646786981542,-0.0519767143524036,NA,-0.00469530091285979,NA,NA,2780.38398028124,75.5598117060549
"17",NA,NA,NA,NA,0.0910976121337989,0.00121078951618857,NA,NA,2780.51077078514,75.6866022099539
"24",NA,0.000582623114071571,NA,NA,0.0909433246876513,NA,NA,NA,2780.5220642862,75.6978957110173
"10",NA,-0.00422878028071691,NA,-0.0473496791477995,NA,NA,NA,NA,2780.69478051365,75.8706119384665
"8",NA,NA,NA,-0.0473503150746075,NA,-0.00440216296340824,NA,NA,2780.72554322574,75.901374650552
"81",NA,-0.0100221835619925,-0.043524315280735,-0.0495827288961539,NA,NA,0.0119246234172309,-0.0251056693470099,2780.81358155049,75.989412975302
"40",NA,-0.00893976835768375,NA,-0.0442635049678096,NA,NA,0.00999635470323715,-0.0278576000625648,2781.01062774098,76.1864591657964
"93",NA,NA,-0.0114197525265625,NA,0.0917963201857569,0.000787352005092046,0.000422046006262868,-0.0341644453783064,2781.03212892031,76.207960345127
"72",NA,NA,-0.0421177820868997,-0.0514535437033128,NA,-0.00472104496401022,0.0215558545422013,-0.0177886293882399,2781.47767939133,76.6535108161434
"33",NA,NA,NA,-0.0460531471299041,NA,-0.00447102341337331,0.0186672383333827,-0.021253935617494,2781.52447512269,76.7003065475024
"68",NA,-0.00681464009892342,-0.0476702036180461,-0.0530912885853658,NA,-0.00525144215595635,NA,NA,2781.89424266455,77.0700740893658
"118",NA,-0.0114143002874632,-0.014488334107763,NA,0.0902243342805255,-0.000199944703026266,-0.0099125123882861,-0.0421043305839484,2781.94960658749,77.1254380123014
"51",NA,NA,-0.015947955257419,NA,0.0914537596126771,0.00119976451825392,NA,NA,2782.31717204273,77.4930034675449
"60",NA,1.9890077097323e-05,-0.0159698142089773,NA,0.0912359325849414,NA,NA,NA,2782.33247960949,77.5083110343089
"30",NA,-0.00452895755973189,NA,-0.0478497076361093,NA,-0.00474628629225266,NA,NA,2782.58601933949,77.7618507643087
"106",NA,-0.0106055019782465,-0.0438618022613329,-0.049942839492324,NA,-0.00557123199264859,0.0112935270863585,-0.0255255766529287,2782.6033336649,77.7791650897116
"49",NA,0.00066401685699844,NA,NA,0.0912090309757409,0.0012632920147404,NA,NA,2782.65216999309,77.8280014179018
